transition_id,source_index,target_index,Ji,Ki,parity_i,mF_i,xi_i,Jf,Kf,parity_f,mF_f,xi_f,signed_frequency_khz,rabi_over_2pi_khz
25,65,71,3,3,+,-3.5,2,3,3,+,-2.5,3,65.77699995040894,1.975
26,39,5,2,1,+,-0.5,2,1,1,+,0.5,2,-1334121301.914,1.967
27,107,47,2,1,-,-0.5,2,1,1,-,0.5,2,-1310169301.914,1.967
28,97,24,3,2,+,-2.5,2,2,2,+,-1.5,2,-2000341950.902,1.961
29,0,32,1,1,+,1.5,1,2,1,+,2.5,1,1334121279.666,1.946
30,42,100,1,1,-,1.5,1,2,1,-,2.5,1,1310169279.666,1.946
31,37,3,2,1,+,-2.5,1,1,1,+,-1.5,1,-1334121283.561,1.946
32,105,45,2,1,-,-2.5,1,1,1,-,-1.5,1,-1310169283.5609999,1.946
33,120,28,2,0,-,0.5,2,0,0,-,1.5,1,-1965253967.998,1.941
34,116,31,2,0,-,-2.5,1,0,0,-,-1.5,1,-1965253868.4459999,1.917
35,25,96,2,2,+,-0.5,2,3,2,+,0.5,2,2000341950.001,1.909
36,67,66,3,3,+,1.5,3,3,3,+,2.5,3,-1.4819998741149902,1.905
37,90,20,3,2,+,-0.5,1,2,2,+,0.5,1,-2000341932.394,1.871
38,55,54,3,3,+,-2.5,1,3,3,+,-1.5,1,-6.672999858856201,1.861
39,84,85,2,2,-,0.5,2,2,2,-,1.5,2,0.32899999618530273,1.857
40,26,27,2,2,+,0.5,2,2,2,+,1.5,2,0.3299999237060547,1.857
41,10,17,1,0,+,-1.5,1,1,0,+,-0.5,3,88.53599998354912,1.843
42,8,12,1,0,+,0.5,1,1,0,+,1.5,2,44.48800000548363,1.838
43,9,16,1,0,+,-0.5,1,1,0,+,0.5,3,75.64900001883507,1.822
44,81,80,2,2,-,-2.5,1,2,2,-,-1.5,1,-5.295000076293945,1.808
45,23,22,2,2,+,-2.5,1,2,2,+,-1.5,1,-5.294999957084656,1.808
46,114,29,2,0,-,-0.5,1,0,0,-,0.5,1,-1965253883.154,1.797
47,11,15,1,0,+,-2.5,1,1,0,+,-1.5,2,48.57499998807907,1.791
48,71,72,3,3,+,-2.5,3,3,3,+,-1.5,4,41.62599992752075,1.79
49,57,65,3,3,+,-4.5,1,3,3,+,-3.5,2,88.78499984741211,1.79
50,88,18,3,2,+,1.5,1,2,2,+,2.5,1,-2000341933.395,1.776
51,127,30,2,0,-,-1.5,3,0,0,-,-0.5,1,-1965254006.333,1.772
52,30,120,0,0,-,-0.5,1,2,0,-,0.5,2,1965253937.3419998,1.744
53,111,110,2,0,-,2.5,1,2,0,-,3.5,1,-7.144000053405762,1.739
54,51,50,3,3,+,1.5,1,3,3,+,2.5,1,-6.2779998779296875,1.738
55,4,40,1,1,+,-0.5,2,2,1,+,0.5,2,1334121304.637,1.728
